number,state,createdAt,mergedAt,closedAt,org,repo,title,additions,deletions,changedFiles,commits,comments,reviews,baseRef,headRef,url
466,"MERGED","2022-11-09T20:15:38Z","2022-11-09T20:32:32Z","2022-11-09T20:32:32Z","ops","terraform-integrations","VBPD IpWhitelist",2,0,1,1,0,1,"master","aroethe/virgniaBeachPd-Ip-whitelist","https://git.taservs.net/ops/terraform-integrations/pull/466"
106,"MERGED","2022-11-09T00:17:39Z","2022-11-09T16:18:37Z","2022-11-09T16:18:37Z","integrations","darkwing-sql","Common OOTB view change",1,0,1,3,0,2,"master","aroethe/Bryan-OOTB-view-change","https://git.taservs.net/integrations/darkwing-sql/pull/106"
464,"MERGED","2022-11-08T17:12:01Z","2022-11-09T15:49:09Z","2022-11-09T15:49:09Z","ops","terraform-integrations","VirginiaBeachPd - remove Ip from list",0,2,1,1,0,1,"master","aroethe/virgniaBeachPd-Ip-whitelist","https://git.taservs.net/ops/terraform-integrations/pull/464"
677,"MERGED","2022-10-25T21:31:45Z","2022-11-10T19:49:05Z","2022-11-10T19:49:05Z","integrations","translator","BaltimorPd Crash Integration",10389,1,11,28,0,13,"master","aroethe/BaltimorePd-Crash-Integration","https://git.taservs.net/integrations/translator/pull/677"
89,"MERGED","2022-10-20T20:51:18Z","2022-10-20T22:24:37Z","2022-10-20T22:24:37Z","integrations","darkwing-sql","add VehicleNumber to OOTB view",1,0,1,1,0,2,"master","aroethe/Bryan-OOTB-view-change","https://git.taservs.net/integrations/darkwing-sql/pull/89"
77,"MERGED","2022-10-06T17:33:38Z","2022-10-12T15:50:26Z","2022-10-12T15:50:26Z","integrations","darkwing-sql","check_platform for docker image",4,1,1,1,1,2,"master","aroethe/flyway-platform-flag","https://git.taservs.net/integrations/darkwing-sql/pull/77"
72,"MERGED","2022-10-04T17:14:11Z","2022-10-06T15:03:24Z","2022-10-06T15:03:24Z","integrations","darkwing-sql","CincinnatiPdTraining-datastore_Records",82,0,7,1,0,2,"master","aroethe/CincinnatiPdTraining-datastore_Records","https://git.taservs.net/integrations/darkwing-sql/pull/72"
443,"MERGED","2022-09-26T20:37:37Z","2022-09-26T23:13:47Z","2022-09-26T23:13:47Z","ops","terraform-integrations","CincinnatiPdTraining Records Datastore",94,0,3,2,0,2,"master","aroethe/cincinnatiPdTraining","https://git.taservs.net/ops/terraform-integrations/pull/443"
6,"MERGED","2022-09-26T20:14:09Z","2022-09-27T15:45:17Z","2022-09-27T15:45:17Z","integrations","datastore-deployment-tool","agency config - CincinnatiPdTraining",57,0,1,3,0,5,"master","aroethe/cincinnatiPdTraining","https://git.taservs.net/integrations/datastore-deployment-tool/pull/6"
1,"MERGED","2022-09-16T16:22:33Z","2022-09-19T15:11:41Z","2022-09-19T15:11:41Z","integrations","datastore-deployment-tool","HoustonIsdPd-PartnerId-fix",1,1,1,1,0,2,"master","aroethe/HoustonIsdPD-partnerId-fix","https://git.taservs.net/integrations/datastore-deployment-tool/pull/1"
59,"MERGED","2022-09-15T23:53:34Z","2022-09-16T22:09:28Z","2022-09-16T22:09:28Z","integrations","darkwing-sql","Jonesboro_Smd_datastore",83,0,7,1,0,2,"master","aroethe/JonesboroPd_Smd_datastore","https://git.taservs.net/integrations/darkwing-sql/pull/59"
439,"MERGED","2022-09-14T20:18:23Z","2022-09-15T00:04:44Z","2022-09-15T00:04:44Z","ops","terraform-integrations","jonesboroPd terraform config",75,4,3,1,0,1,"master","aroethe/JonesboroPdAr-terraform","https://git.taservs.net/ops/terraform-integrations/pull/439"
10804,"CLOSED","2022-09-12T16:17:27Z","","2022-09-13T23:01:14Z","ops","k8s-deploy","Promote to prod data-platform/promoteToProd/us1/2022-09-12-09-16",2,2,1,2,2,3,"master","data-platform/promoteToProd/us1/2022-09-12-09-16","https://git.taservs.net/ops/k8s-deploy/pull/10804"
8643,"MERGED","2022-09-09T23:36:31Z","2022-09-12T15:52:18Z","2022-09-12T15:52:18Z","ops","argo-apps","Difference from master data-platform-promoteToStaging-2022-09-09-16-3…",2,2,2,1,0,1,"master","data-platform-promoteToStaging-2022-09-09-16-33-27","https://git.taservs.net/ops/argo-apps/pull/8643"
640,"MERGED","2022-09-09T20:21:55Z","2022-09-09T20:28:34Z","2022-09-09T20:28:34Z","integrations","translator","KingCity CFS postal code hotfix",5,3,2,2,0,2,"master","aroethe/KingCity-postalCode-hotfix","https://git.taservs.net/integrations/translator/pull/640"
54,"MERGED","2022-09-09T19:54:34Z","2022-09-14T16:59:37Z","2022-09-14T16:59:37Z","integrations","darkwing-sql","add friendlyId OOTB View -> axon.Persons",1,0,1,2,0,6,"master","aroethe/OOTB-person-view-change","https://git.taservs.net/integrations/darkwing-sql/pull/54"
47,"MERGED","2022-09-01T20:11:21Z","2022-09-06T20:23:08Z","2022-09-06T20:23:08Z","integrations","darkwing-sql","HoustonIsdPd_sql-server&schema",84,1,7,1,0,2,"master","aroethe/HoustonIsdPd-sql","https://git.taservs.net/integrations/darkwing-sql/pull/47"
418,"MERGED","2022-08-30T16:14:19Z","2022-08-30T17:12:28Z","2022-08-30T17:12:28Z","ops","terraform-integrations","HoustinIsdPd S-md terraform",74,0,3,3,0,4,"master","aroethe/3624_HoustinIsdPd-Smd_terraform","https://git.taservs.net/ops/terraform-integrations/pull/418"
632,"MERGED","2022-08-25T16:55:44Z","2022-08-25T19:12:52Z","2022-08-25T19:12:52Z","integrations","translator","KingCityPd CFS Liquid file and test",142,0,4,3,0,4,"master","aroethe/8055-KingCityPd_CFS","https://git.taservs.net/integrations/translator/pull/632"
414,"MERGED","2022-08-19T20:39:52Z","2022-08-22T15:27:44Z","2022-08-22T15:27:44Z","ops","terraform-integrations","TucsonPd 1 IP whitelist",11,10,1,2,0,3,"master","aroethe/3443_TucsonPd_IP-whitelist","https://git.taservs.net/ops/terraform-integrations/pull/414"
2,"CLOSED","2022-08-19T19:16:26Z","","2022-08-19T19:25:33Z","dlockwood","Axon_DataStore_Automation_Tool","add ORI to render template",1,1,1,1,0,0,"master","aroethe/Integrationdb_ORI_hotfix","https://git.taservs.net/dlockwood/Axon_DataStore_Automation_Tool/pull/2"
39,"MERGED","2022-08-18T21:59:37Z","2022-08-22T16:49:42Z","2022-08-22T16:49:42Z","integrations","darkwing-sql","add SQL datastore and schema for OdessaPd",165,1,14,1,0,2,"master","aroethe/PSO-3481_OdessaPd_S-md+R_SQL-datastore","https://git.taservs.net/integrations/darkwing-sql/pull/39"
413,"MERGED","2022-08-18T18:07:24Z","2022-08-19T12:54:36Z","2022-08-19T12:54:36Z","ops","terraform-integrations","KingCityPd CFS hotfix",12,0,3,1,0,2,"master","aroethe/KingCityPd_terraform_hotfix","https://git.taservs.net/ops/terraform-integrations/pull/413"
1,"MERGED","2022-08-16T18:16:04Z","2022-08-16T18:23:58Z","2022-08-16T18:23:58Z","dlockwood","Axon_DataStore_Automation_Tool","add needed package to requirements.txt",2,1,1,1,0,0,"master","aroethe/hotfix","https://git.taservs.net/dlockwood/Axon_DataStore_Automation_Tool/pull/1"
412,"MERGED","2022-08-16T16:56:53Z","2022-08-16T17:04:03Z","2022-08-16T17:04:03Z","ops","terraform-integrations","odessaPd_S-md+R_terraform",98,0,3,1,0,1,"master","aroethe/8088-odessapd_S+R_terraform","https://git.taservs.net/ops/terraform-integrations/pull/412"
52,"CLOSED","2022-08-10T19:42:44Z","","2022-08-11T17:31:12Z","integrations","conductor","kingcitypd dbscript dependency",1,0,1,1,0,1,"master","aroethe/8056_kingcity_CFS_integration","https://git.taservs.net/integrations/conductor/pull/52"
407,"MERGED","2022-08-09T16:53:30Z","2022-08-10T16:59:10Z","2022-08-10T16:59:10Z","ops","terraform-integrations","kingcitypd OnPremiseToAxonRecords integration",18,0,3,1,0,2,"master","aroethe/8052_kingcitypd_integrations","https://git.taservs.net/ops/terraform-integrations/pull/407"
31,"MERGED","2022-08-04T21:05:16Z","2022-08-11T17:41:15Z","2022-08-11T17:41:15Z","integrations","darkwing-sql","KentCso Standards sql datastore",84,0,7,3,0,4,"master","aroethe/8038-kentcso_S_sql-datastore","https://git.taservs.net/integrations/darkwing-sql/pull/31"
29,"MERGED","2022-08-03T20:30:05Z","2022-08-11T15:15:26Z","2022-08-11T15:15:26Z","integrations","darkwing-sql","flyway mac user improvement",10,6,1,2,0,2,"master","aroethe/flyway-mac_user-improvement","https://git.taservs.net/integrations/darkwing-sql/pull/29"
399,"MERGED","2022-08-03T17:52:14Z","2022-08-03T19:04:51Z","2022-08-03T19:04:51Z","ops","terraform-integrations","tucson add 1 ip to whitelist",17,16,1,1,0,1,"master","aroethe/8047-IP_whitelist","https://git.taservs.net/ops/terraform-integrations/pull/399"
28,"MERGED","2022-08-02T20:29:06Z","2022-08-04T15:54:46Z","2022-08-04T15:54:46Z","integrations","darkwing-sql","add tucsonpd & training PSO view: WeaponsUsed",82,0,4,1,0,2,"master","aroethe/8044-tucsonpd-pso-view-weapon_used","https://git.taservs.net/integrations/darkwing-sql/pull/28"
397,"MERGED","2022-08-02T16:46:53Z","2022-08-03T16:45:14Z","2022-08-03T16:45:15Z","ops","terraform-integrations","kentcso standards terraform config",71,0,3,1,0,1,"master","aroethe/8032_kentcso_S_terraform-config","https://git.taservs.net/ops/terraform-integrations/pull/397"
396,"MERGED","2022-08-01T20:54:39Z","2022-08-03T17:48:15Z","2022-08-03T17:48:15Z","ops","terraform-integrations","IP-whitelist for DelhiPd & BoulderPdTraining",40,3,1,2,0,5,"master","aroethe/8028_delhi_ip-whitelist","https://git.taservs.net/ops/terraform-integrations/pull/396"
391,"MERGED","2022-07-25T23:07:57Z","2022-07-26T00:29:35Z","2022-07-26T00:29:35Z","ops","terraform-integrations","manassasParkPd ip-address name change",2,2,1,1,0,1,"master","aroethe/7968_terraform_us1_ip-address_name-change_manassParkPd","https://git.taservs.net/ops/terraform-integrations/pull/391"
390,"CLOSED","2022-07-25T22:47:48Z","","2022-07-25T23:09:18Z","ops","terraform-integrations","ip address name change hotfix - US1",90,57,3,2,0,0,"master","aroethe/ip_address_name_change-hotfix","https://git.taservs.net/ops/terraform-integrations/pull/390"
18,"MERGED","2022-07-25T21:37:28Z","2022-07-28T18:56:11Z","2022-07-28T18:56:11Z","integrations","darkwing-sql","DataStore DDL -> ManassasParkPd Records",31,0,5,1,2,2,"master","aroethe/7974-datastore_ddl_manassasParkPd_R","https://git.taservs.net/integrations/darkwing-sql/pull/18"
15,"MERGED","2022-07-21T18:45:03Z","2022-07-25T19:49:44Z","2022-07-25T19:49:44Z","integrations","darkwing-sql","SQL Server DataStores add records deploy & rollback",49,0,4,1,0,2,"master","aroethe/7973-Sql_server_datastores_manassasParkPd_R","https://git.taservs.net/integrations/darkwing-sql/pull/15"
386,"MERGED","2022-07-18T15:58:17Z","2022-07-18T16:05:20Z","2022-07-18T16:05:20Z","ops","terraform-integrations","Adds Azure Resources for ManassasParkPd in ag1, us2, us1",90,57,3,1,0,1,"master","aroethe/7968_ManassasParkPd_R_Terraform","https://git.taservs.net/ops/terraform-integrations/pull/386"
4,"MERGED","2022-07-12T17:02:38Z","2022-07-13T17:46:14Z","2022-07-13T17:46:14Z","integrations","darkwing-sql","add BryanPdTraining sub_deploy_version & remove from BaltimorePdTraining",1,1,1,1,0,2,"master","aroethe/7945_BaltimorePdTraining_R_YML_hotfix","https://git.taservs.net/integrations/darkwing-sql/pull/4"
382,"MERGED","2022-07-11T19:43:07Z","2022-07-11T19:50:08Z","2022-07-11T19:50:08Z","ops","terraform-integrations","tucsonPd & tucsonPdTraining add 4 ip addresses to whitelist",4,6,1,1,0,1,"master","aroethe/7947_TucsonPR_ip_whitelist","https://git.taservs.net/ops/terraform-integrations/pull/382"
